Country,Religion,Work,Politics,Leisure time,Friends,Family,Happiness,Health
Argentina,72.2,92.325,50.925,76.875,83.15,97.45,75.425,72.8
Brazil,83.925,94.775,55.85,84.275,86.45,97.275,73.425,78.2
Belarus,50.1,82.45,57.75,74.325,77.4,91.725,58.675,62.4
Chile,80.4,92.65,51.1,72.625,65.15,95.65,75.075,72
China,31.2,88.425,68.95,62.25,72.925,88.95,71.65,76
Czech Rep.,44.25,86.325,55.725,75.55,76.8,95.25,68.85,69
India,80.9,96.2,55.225,64.25,75.6,93.675,72.85,73.2
Japan,41.375,77.175,59.975,73.85,79.6,92.875,70.3,67.8
South Korea,66.6,90.15,73.95,75.15,85.475,97.75,67.9,0
Mexico,73.6,90.625,56.425,73.8,73.15,95.275,70.65,75.8
Nigeria,93.725,97.75,54.675,88.825,82.825,98.175,73.925,81
Poland,53.6,89.5,54.875,76.975,74.25,96.925,73.85,64.4
Russian Federation,49.525,78.725,54.525,70.925,74.025,91.825,57.4,60.4
Slovakia,57.275,87.3,53.425,74.375,75.275,95.4,62.625,67
South Africa,86.625,91.975,63.55,72.15,69.675,96.45,69.875,77.6
Spain,61.65,88.35,44.825,79.275,83.45,94.5,74.525,71.4
Switzerland,63.65,81.925,56.05,81.175,84.525,94.5,81.55,82.2
Turkey,84.05,77.05,49.025,66.475,86.45,96.45,76.55,74
