Country,Family,Friends,Leisure time,Politics,Work,Religion,Happiness,Health
Argentina,3.873,3.391,3.051,2.031,3.374,2.599,3.167,3.974
Australia,3.897,3.423,3.235,2.307,2.981,2.006,3.256,4.045
Brazil,3.857,3.139,3.176,2.24,3.602,3.375,3.264,3.917
Chile,3.903,3.094,3.433,1.912,3.372,2.681,3.075,3.88
China,3.823,3.334,2.811,2.267,3.062,1.434,2.969,3.847
Taiwan,3.886,3.315,3.15,2.131,3.454,2.588,3.126,4.104
India,3.931,3.233,2.924,2.261,3.663,3.538,3.226,3.901
Japan,3.85,3.322,3.246,2.723,3.234,1.631,3.116,3.498
South Korea,3.893,3.43,3.134,2.56,3.456,2.59,3.043,3.899
Mexico,3.971,3.12,3.425,2.389,3.808,3.372,3.614,3.963
New Zealand,3.877,3.435,3.292,2.338,2.995,2.135,3.202,4.081
Nigeria,3.979,3.563,3.351,2.525,3.668,3.866,3.366,4.437
Pakistan,3.934,3.228,2.582,2.138,3.561,3.85,3.257,4.096
Peru,3.849,2.746,3.047,2.199,3.602,3.247,3.088,3.63
Philippines,3.987,3.187,2.542,2.715,3.877,3.837,3.381,3.688
Russian Federation,3.812,3.097,2.953,1.987,2.964,2.231,2.779,3.362
Slovenia,3.865,3.359,3.26,1.725,3.253,2.168,2.996,3.754
South Africa,3.904,3.213,2.981,2.397,3.227,3.319,3.095,4.213
Spain,3.902,3.451,3.336,1.895,3.384,2.05,3.002,3.889
Sweden,3.866,3.644,3.458,2.696,3.225,1.978,3.345,4.028
Turkey,3.948,3.537,3.23,2.421,3.23,3.572,3.165,3.721
United States,3.877,3.444,3.273,2.51,3.077,2.947,3.237,4.023
